teszta,tészta
husos_teszta,húsos tészta
edes_teszta,édes tészta
felfujt,felfújt
habart_leves,habart leves
rantott_leves,rántott leves
leves,leves
tartalmas_leves,tartalmas leves
zoldseges_leves,zöldséges leves
apro_hus,apró hús
fozelek,főzelék
egytaletel,egytálétel
hus_mentes,hús mentes
frissen_sult,frissen sűlt
egyben_sult_hus,egyben sült hús
belsoseg,belsőség
har,hal
martas,mártás
koret,köret
salata,saláta
savanyusag,savanyúság
nemzetkozi,nemzetközi
klasszikus,klasszikus
paradicsomos,paradicsomos
huvelyes,hüvelyes
fozelek,főzelék
csoben_sult,csőben sűlt
gyumolcsos_hus,gyümölcsös hús
palacsinta,palacsinta
rizses,rizses
vagdalt_hus,vagdalt hús
krumplis,krumplis
turos,túrós
csirke,csirke
pulyka,pulyka
sertes,sertés
marha,marha
tartalmas_reggeli,tartalmas reggeli
gabona_kis_etkezes,gabona kis étkezés
szendvicskrem,szendvicskrém
kenyer_feltet,kenyér feltét
gyumolcsos_tejtermek,gyümölcsös tejtermék
gyumolcsos_egytaletel,gyümölcsös egytálétel
tepsis_hus,tepsis hús
kelt_teszta,kelt tészta
edes_kelt_teszta,édes kelt tészta
sos_kelt_teszta,sós kelt tészta
edes_reggeli,édes reggeli
tojas_etelek,tojás ételek
porkoltek,pörköltek
husetelek,húsételek
kremleves,krémleves
rakott_husok,rakott húsok
daralt_husos,darált húsos
tepsis,tepsis
zoldseges_egytaletel,zöldséges egytálétel
bundas_hus,bundás hús
husos_salata,húsos saláta
rakott_teszta,rakott tészta
tejszines_teszta,tejszínes tészta
zsiradekban_sult,zsiradékban sűlt
desszert,desszert
gyumolcsos,gyümölcs
zoldseg,zöldség
peksutemenyek,péksütemények
toltott_zoldsegek,töltött zöldségek
